"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-1418","src/normalized-ui/staff-actions/TableObservationSheet.tsx","185","RecentObservations","button","刷新","{""onClick"":""onReload""}","","","loading","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1419","src/normalized-ui/staff-actions/TableObservationSheet.tsx","192","RecentObservations","summary","查看修订记录（ {item.revisions.length} ）","{}","","","","item.revisions.length > 0","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1420","src/normalized-ui/staff-actions/TableObservationSheet.tsx","210","ObservationEventRow","button","修正","{""onClick"":""() => setEditing(value => !value)""}","","","","canRevise && event.rawExcerpt !== null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1421","src/normalized-ui/staff-actions/TableObservationSheet.tsx","214","ObservationEventRow","select","{MANUAL_EXPRESSION_OPTIONS.map(option => <option key={option.value} value={option.value}>{option.label}</option>)}","{""onChange"":""(change) => setExpressionKind(change.target.value as ObservationExpressionKind)""}","","","","editing","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1422","src/normalized-ui/staff-actions/TableObservationSheet.tsx","215","ObservationEventRow","select","{EVENT_OPTIONS.map(option => <option key={option.value} value={option.value}>{option.label}</option>)}","{""onChange"":""(change) => setEventType(change.target.value as ObservationEventType)""}","","","","editing","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1423","src/normalized-ui/staff-actions/TableObservationSheet.tsx","216","ObservationEventRow","select","未说明 {DEGREE_OPTIONS.map(option => <option key={option.value} value={option.value}>{option.label}</option>)}","{""onChange"":""(change) => setDegree(change.target.value === '' ? null : change.target.value as ObservationDegree)""}","","","","editing","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1424","src/normalized-ui/staff-actions/TableObservationSheet.tsx","218","ObservationEventRow","input","","{""onChange"":""(change) => setReason(change.target.value)""}","","","","editing","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1425","src/normalized-ui/staff-actions/TableObservationSheet.tsx","219","ObservationEventRow","button","取消","{""onClick"":""() => setEditing(false)""}","","","","editing","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1426","src/normalized-ui/staff-actions/TableObservationSheet.tsx","219","ObservationEventRow","button","{busy ? <LoaderCircle className=""is-spinning"" /> : <Check />} 保存修订","{""onClick"":""() => onRevise(observationPublicId, event, reason.trim(), { expressionKind, eventType, degree })""}","","","busy || reason.trim().length < 2","editing","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1427","src/normalized-ui/staff-actions/TableOrderStatusPanel.tsx","96","TableOrderStatusContent","button","刷新本桌点单状态","{""onClick"":""retry""}","","","loading","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1428","src/normalized-ui/staff-actions/TableOrderStatusPanel.tsx","120","TableOrderStatusContent","button","查看换品原商品","{""onClick"":""()=>openAfterSales(order.replacementSource!.orderItemId)""}","","","","order.replacementSource && afterSalesAccess&&(afterSalesAccess.enabled||afterSalesAccess.recoveryAvailable)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1429","src/normalized-ui/staff-actions/TableOrderStatusPanel.tsx","128","TableOrderStatusContent","button","{afterSalesAccess?.enabled?(item.includedInBundle?'处理套餐内商品':'停止 / 退款'):'处理原申请'}","{""onClick"":""()=>openAfterSales(item.id)""}","","","","(afterSalesAccess?.enabled||afterSalesAccess?.recoveryAvailable&&item.quantities||afterSalesRecovery?.pending(item.id))","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1430","src/normalized-ui/staff-actions/TableOrderStatusPanel.tsx","163","OrderDetailsErrorNotice","button","{props.copied ? '已复制' : '复制参考号'}","{""onClick"":""props.onCopy""}","","","","props.error.referenceId !== null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1431","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","240","TablePaymentSheet","button","关闭本桌收款","{""onClick"":""onClose""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1432","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","248","TablePaymentSheet","button","核对上次现金登记","{""onClick"":""() => void sendCashCollection(cashRecovery.attempt!)""}","","","busy || access?.manualCollection.canRecordCash !== true","cashRecovery.attempt && cashRecovery.attempt.employeeId === employeeId","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1433","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","250","TablePaymentSheet","summary","登记凭证","{}","","","","cashRecovery.attempt","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1434","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","253","TablePaymentSheet","button","重新读取本桌收款","{""onClick"":""() => setLoadAttempt((current) => current + 1)""}","","","","!loading && error !== null && orders.length === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1435","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","260","TablePaymentSheet","button","{selectedIds.includes(order.id)?'☑ ':'☐ '} {shortPaymentOrderLabel(order.publicId)} {order.hasOnlinePaymentInProgress ? '待收款 · 原支付未确认' : order.paymentStatus === 'partially_refunded' ? '退款后待补收' : '待收款'} {money(order.outstandingAmountMinor, order.currency)}","{""onClick"":""() => { if (writing.current) return; advanceGeneration(); setQuerying(false); setScannerOpen(false); setSelectedIds(current=>current.includes(order.id)?current.filter(id=>id!==order.id):[...current,order.id]); setSelectedOrderId(order.id); setCollectionAmount(''); setAction(null); setPaymentStatus('pending'); setError(null) }""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1436","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","270","TablePaymentSheet","input","本次收款金额（元）","{""onChange"":""event=>{setCollectionAmount(event.target.value);setAction(null)}""}","","","busy","loading && orders.length === 0 && selected !== null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1437","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","272","TablePaymentSheet","summary","查看本次分摊顺序","{}","","","","loading && orders.length === 0 && selected !== null","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1438","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","276","TablePaymentSheet","summary","原支付记录","{}","","","","loading && orders.length === 0 && selected !== null && activePaymentId !== null","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1439","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","278","TablePaymentSheet","button","{querying ? '正在读取' : '查看原支付结果'}","{""onClick"":""() => void queryPayment()""}","","","querying","loading && orders.length === 0 && selected !== null && activePaymentId !== null && access?.canQueryOnlinePayment === true","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1440","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","300","PaymentButtons","button","调出付款二维码 顾客扫码付款","{""onClick"":""onQr""}","","","busy || onlineDisabled","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1441","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","301","PaymentButtons","button","扫描顾客付款码 摄像头或扫码枪","{""onClick"":""onScan""}","","","busy || onlineDisabled","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1442","src/normalized-ui/staff-actions/TablePaymentSheet.tsx","302","PaymentButtons","button","现金已收 确认后直接登记","{""onClick"":""onCash""}","","","busy","canRecordCash","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1443","src/normalized-ui/staff-actions/TableRecommendationSheet.tsx","72","TableRecommendationSheet","button","关闭推荐调整","{""onClick"":""onClose""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1444","src/normalized-ui/staff-actions/TableRecommendationSheet.tsx","78","TableRecommendationSheet","select","{session.options.map((option) => <option value={option.productId} key={option.productId}> {option.productName} · {money(option.amountMinor,option.currency)} </option>)}","{""onChange"":""(event) => setSourceProductId(event.target.value)""}","","","","session!==null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1445","src/normalized-ui/staff-actions/TableRecommendationSheet.tsx","82","TableRecommendationSheet","select","{targetOptions.map((option) => <option value={option.productId} key={option.productId}> {option.productName} · {money(option.amountMinor,option.currency)} </option>)}","{""onChange"":""(event) => setTargetProductId(event.target.value)""}","","","","session!==null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1446","src/normalized-ui/staff-actions/TableRecommendationSheet.tsx","86","TableRecommendationSheet","select","{REASONS.map((reason) => <option value={reason.code} key={reason.code}>{reason.label}</option>)}","{""onChange"":""(event) => setReasonCode(\n            event.target.value as RecommendationStaffModificationReason,\n          )""}","","","","session!==null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1447","src/normalized-ui/staff-actions/TableRecommendationSheet.tsx","89","TableRecommendationSheet","button","{busy ? '正在确认…' : '确认记录调整'}","{""onClick"":""() => void submit()""}","","","busy || !targetProductId","session!==null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1448","src/normalized-ui/staff-actions/TableRecommendationSheet.tsx","92","TableRecommendationSheet","button","重新读取本桌推荐","{""onClick"":""() => setLoadAttempt(value => value + 1)""}","","","loading","error && session === null","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1449","src/normalized-ui/StaffAccessManagementPanel.tsx","202","StaffAccessManagementPanel","button","重新读取","{""onClick"":""() => void load()""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1450","src/normalized-ui/StaffAccessManagementPanel.tsx","218","StaffAccessManagementPanel","summary","员工账号管理 新增、分岗、停用或恢复；历史记录不会删除","{}","","","","","浏览器原生展开/收起","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1451","src/normalized-ui/StaffAccessManagementPanel.tsx","219","StaffAccessManagementPanel","form","员工账号 员工姓名 初始PIN 初始岗位 请选择 {roles.map((role) => <option key={role.id} value={role.id}>{roleLabel(role.code, role.name)}</option>)} 建立原因 {employeeBusy ? '正在处理' : '建立员工账号'}","{""onSubmit"":""createEmployee""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1452","src/normalized-ui/StaffAccessManagementPanel.tsx","220","StaffAccessManagementPanel","input","","{""onChange"":""(event) => setEmployeeDraft({ ...employeeDraft, employeeCode: event.target.value })""}","createEmployee","","","","所属表单：createEmployee","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1453","src/normalized-ui/StaffAccessManagementPanel.tsx","221","StaffAccessManagementPanel","input","","{""onChange"":""(event) => setEmployeeDraft({ ...employeeDraft, displayName: event.target.value })""}","createEmployee","","","","所属表单：createEmployee","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1454","src/normalized-ui/StaffAccessManagementPanel.tsx","222","StaffAccessManagementPanel","input","","{""onChange"":""(event) => setEmployeeDraft({ ...employeeDraft, pin: event.target.value.replace(/\\D/g, '').slice(0, 4) })""}","createEmployee","","","","所属表单：createEmployee","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1455","src/normalized-ui/StaffAccessManagementPanel.tsx","223","StaffAccessManagementPanel","select","请选择 {roles.map((role) => <option key={role.id} value={role.id}>{roleLabel(role.code, role.name)}</option>)}","{""onChange"":""(event) => setEmployeeDraft({ ...employeeDraft, roleId: event.target.value })""}","createEmployee","","","","所属表单：createEmployee","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1456","src/normalized-ui/StaffAccessManagementPanel.tsx","224","StaffAccessManagementPanel","input","","{""onChange"":""(event) => setEmployeeDraft({ ...employeeDraft, reason: event.target.value })""}","createEmployee","","","","所属表单：createEmployee","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1457","src/normalized-ui/StaffAccessManagementPanel.tsx","225","StaffAccessManagementPanel","button","{employeeBusy ? '正在处理' : '建立员工账号'}","{}","createEmployee","","employeeBusy || employeeDraft.pin.length !== 4","","所属表单：createEmployee","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1458","src/normalized-ui/StaffAccessManagementPanel.tsx","227","StaffAccessManagementPanel","button","{employee.status === 'active' ? <UserX /> : <UserCheck />} {employee.status === 'active' ? '停用' : '恢复'}","{""onClick"":""() => void changeEmployeeStatus(employee)""}","","","employeeBusy || employee.id === currentEmployeeId","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1459","src/normalized-ui/StaffAccessManagementPanel.tsx","234","StaffAccessManagementPanel","ModeButton","","{""onClick"":""() => chooseMode('role')""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1460","src/normalized-ui/StaffAccessManagementPanel.tsx","235","StaffAccessManagementPanel","ModeButton","","{""onClick"":""() => chooseMode('employee')""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1461","src/normalized-ui/StaffAccessManagementPanel.tsx","236","StaffAccessManagementPanel","ModeButton","","{""onClick"":""() => chooseMode('policy')""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1462","src/normalized-ui/StaffAccessManagementPanel.tsx","237","StaffAccessManagementPanel","ModeButton","","{""onClick"":""() => chooseMode('refund')""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1463","src/normalized-ui/StaffAccessManagementPanel.tsx","238","StaffAccessManagementPanel","ModeButton","","{""onClick"":""() => chooseMode('navigation')""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1464","src/normalized-ui/StaffAccessManagementPanel.tsx","244","StaffAccessManagementPanel","select","mode === 'employee' ? '选择员工' : '选择岗位'","{""onChange"":""(event) => chooseTarget(event.target.value)""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1465","src/normalized-ui/StaffAccessManagementPanel.tsx","251","StaffAccessManagementPanel","RefundReviewConfiguration","","{""onChange"":""setRefundDraft""}","","","","mode === 'refund'","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1466","src/normalized-ui/StaffAccessManagementPanel.tsx","254","StaffAccessManagementPanel","button","套用并预览","{""onClick"":""applyBeverageLaunchPackage""}","","","","selectedTarget !== null && mode === 'employee' && selectedEmployee !== null","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1467","src/normalized-ui/StaffAccessManagementPanel.tsx","269","StaffAccessManagementPanel","input","发布原因","{""onChange"":""(event) => setReason(event.target.value)""}","","","","selectedTarget !== null","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1468","src/normalized-ui/StaffAccessManagementPanel.tsx","270","StaffAccessManagementPanel","button","{publishing ? <LoaderCircle className=""is-spinning"" /> : <ShieldCheck />} {publishing ? '正在发布并复核' : `发布${pendingChanges.length}项修改`}","{""onClick"":""() => void deploy()""}","","","pendingChanges.length === 0 || reason.trim().length < 2 || publishing || refundError !== null","selectedTarget !== null","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1469","src/normalized-ui/StaffAccessManagementPanel.tsx","281","ModeButton","button","{icon} {title} {detail}","{""onClick"":""onClick""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1470","src/normalized-ui/StaffAccessManagementPanel.tsx","295","PermissionEditor","input","","{""onChange"":""(event) => setQuery(event.target.value)""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1471","src/normalized-ui/StaffAccessManagementPanel.tsx","296","PermissionEditor","select","权限类别","{""onChange"":""(event) => setCategory(event.target.value)""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1472","src/normalized-ui/StaffAccessManagementPanel.tsx","306","PermissionEditor","input","","{""onChange"":""(event) => setDraft((current) => ({ ...current, [permission.code]: event.target.checked }))""}","","","","mode === 'role'","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1473","src/normalized-ui/StaffAccessManagementPanel.tsx","307","PermissionEditor","select","`${permissionLabel(permission.code, permission.name)}员工例外`","{""onChange"":""(event) => setDraft((current) => ({ ...current, [permission.code]: event.target.value === '' ? null : event.target.value as 'grant' | 'deny' }))""}","","","","mode === 'role'","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1474","src/normalized-ui/StaffAccessManagementPanel.tsx","336","PolicyEditor","input","`${definition.label}启用`","{""onChange"":""(event) => updateApproval(definition, { enabled: event.target.checked })""}","","","!allowed","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1475","src/normalized-ui/StaffAccessManagementPanel.tsx","338","PolicyEditor","input","`${definition.label}单次上限`","{""onChange"":""(event) => updateApproval(definition, { amountMinor: moneyMinor(event.target.value) })""}","","","!allowed","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1476","src/normalized-ui/StaffAccessManagementPanel.tsx","339","PolicyEditor","input","`${definition.label}最高折扣`","{""onChange"":""(event) => updateApproval(definition, { rules: { ...value.rules, discountBasisPoints: Math.round(Number(event.target.value || 0) * 100), requiresReason: true } })""}","","","!allowed","controls.includes('discount_percent')","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1477","src/normalized-ui/StaffAccessManagementPanel.tsx","340","PolicyEditor","input","强制不同员工复核（不可关闭）","{}","","","true","controls.includes('second_actor')","固定不可操作的状态展示","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1478","src/normalized-ui/StaffAccessManagementPanel.tsx","358","PolicyEditor","input","{definition.description}","{""onChange"":""(event) => updateScope(definition, { value: definition.config.enabledValue ?? true, enabled: event.target.checked })""}","","","","editor === 'boolean'","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1479","src/normalized-ui/StaffAccessManagementPanel.tsx","359","PolicyEditor","input","{option.label}","{""onChange"":""(event) => {\n            const next = toggleValue(values, option.value, event.target.checked)\n            updateScope(definition, { value: next, enabled: next.length > 0 })\n          }""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1480","src/normalized-ui/StaffAccessManagementPanel.tsx","390","NavigationEditor","input","`${definition.label}入口`","{""onChange"":""(event) => update(definition, { enabled: event.target.checked })""}","","","!allowed","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1481","src/normalized-ui/StaffAccessManagementPanel.tsx","392","NavigationEditor","input","`${definition.label}高频入口`","{""onChange"":""(event) => update(definition, { displayConfig: { ...value.displayConfig, highFrequency: event.target.checked }, sortOrder: definition.sortOrder })""}","","","!value.enabled || (!value.displayConfig.highFrequency && highFrequencyCount >= 4)","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1482","src/normalized-ui/StaffAccessManagementPanel.tsx","395","NavigationEditor","a","打开设备与打印","{}","","","","","链接：/staff/devices","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1483","src/normalized-ui/StaffMemberNavigation.tsx","22","StaffMemberNavigation","button","{labels[entry.code]}","{""onClick"":""() => onNavigate(entry.route)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1484","src/normalized-ui/StaffModulePanel.tsx","526","StaffModulePanel","button","`刷新${title}`","{""onClick"":""() => module === 'payments' ? setPaymentRefreshToken((value) => value + 1)\n          : module === 'orders' ? setOrderRefreshToken(value=>value+1) : void load()""}","","","phase === 'loading'","","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1485","src/normalized-ui/StaffModulePanel.tsx","544","StaffModulePanel","button","重试","{""onClick"":""() => void load()""}","","","","phase === 'error'","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1486","src/normalized-ui/StaffModulePanel.tsx","798","PerformanceModule","button","新增演员","{""onClick"":""() => setForm(form === 'performer' ? null : 'performer')""}","","","","canManage","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1487","src/normalized-ui/StaffModulePanel.tsx","798","PerformanceModule","button","编辑演员","{""onClick"":""openPerformerEdit""}","","","performers.length === 0","canManage","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1488","src/normalized-ui/StaffModulePanel.tsx","798","PerformanceModule","button","维护歌单","{""onClick"":""() => setForm(form === 'songs' ? null : 'songs')""}","","","performers.length === 0","canManage","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1489","src/normalized-ui/StaffModulePanel.tsx","798","PerformanceModule","button","新增演出场次","{""onClick"":""() => setForm(form === 'schedule' ? null : 'schedule')""}","","","","canManage","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1490","src/normalized-ui/StaffModulePanel.tsx","799","PerformanceModule","form","新增演员资料 演员资料和歌单需分别保存 演员编号 艺名 风格标签 {busyKey === 'performer-create' ? '保存中' : '保存演员'}","{""onSubmit"":""(event) => void createPerformer(event)""}","","","","form === 'performer'","已定义交互事件","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1491","src/normalized-ui/StaffModulePanel.tsx","799","PerformanceModule","input","演员编号","{""onChange"":""(event) => setPerformerCode(event.target.value)""}","(event) => void createPerformer(event)","","","form === 'performer'","所属表单：(event) => void createPerformer(event)","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1492","src/normalized-ui/StaffModulePanel.tsx","799","PerformanceModule","input","艺名","{""onChange"":""(event) => setStageName(event.target.value)""}","(event) => void createPerformer(event)","","","form === 'performer'","所属表单：(event) => void createPerformer(event)","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1493","src/normalized-ui/StaffModulePanel.tsx","799","PerformanceModule","input","风格标签","{""onChange"":""(event) => setGenres(event.target.value)""}","(event) => void createPerformer(event)","","","form === 'performer'","所属表单：(event) => void createPerformer(event)","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-1494","src/normalized-ui/StaffModulePanel.tsx","799","PerformanceModule","button","{busyKey === 'performer-create' ? '保存中' : '保存演员'}","{}","(event) => void createPerformer(event)","","busyKey !== null","form === 'performer'","所属表单：(event) => void createPerformer(event)","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
